target_item_id,source_id,method,confidence
minecraft:bamboo_chest_raft,minecraft:bamboo_raft,auto,medium
minecraft:bamboo_door,minecraft:bamboo_door,identity,high
minecraft:bamboo_fence,minecraft:bamboo_fence,identity,high
minecraft:bamboo_fence,minecraft:bamboo_planks,auto,medium
minecraft:bamboo_fence_gate,minecraft:bamboo_fence_gate,identity,high
minecraft:bamboo_fence_gate,minecraft:bamboo_planks,auto,medium
minecraft:bamboo_hanging_sign,minecraft:bamboo_hanging_sign,identity,high
minecraft:bamboo_mosaic,minecraft:bamboo_mosaic,identity,high
minecraft:bamboo_mosaic_slab,minecraft:bamboo_mosaic_slab,identity,high
minecraft:bamboo_mosaic_stairs,minecraft:bamboo_mosaic_stairs,identity,high
minecraft:bamboo_planks,minecraft:bamboo_block,auto,medium
minecraft:bamboo_planks,minecraft:bamboo_planks,identity,high
minecraft:bamboo_pressure_plate,minecraft:bamboo_pressure_plate,identity,high
minecraft:bamboo_raft,minecraft:bamboo_raft,identity,high
minecraft:bamboo_shelf,minecraft:bamboo_shelf,identity,high
minecraft:bamboo_sign,minecraft:bamboo_planks,auto,medium
minecraft:bamboo_sign,minecraft:bamboo_sign,identity,high
minecraft:bamboo_slab,minecraft:bamboo_slab,identity,high
minecraft:bamboo_stairs,minecraft:bamboo_stairs,identity,high
minecraft:bamboo_trapdoor,minecraft:bamboo_trapdoor,identity,high
minecraft:barrel,minecraft:barrel,identity,high
minecraft:barrier,minecraft:barrier,identity,high
minecraft:basalt,minecraft:basalt,identity,high
minecraft:bat_spawn_egg,minecraft:bat_spawn_egg,identity,high
minecraft:beacon,minecraft:beacon,identity,high
minecraft:bedrock,minecraft:bedrock,identity,high
minecraft:bee_nest,minecraft:bee_nest,identity,high
minecraft:bee_spawn_egg,minecraft:bee_spawn_egg,identity,high
minecraft:beef,minecraft:beef,identity,high
minecraft:beehive,minecraft:beehive,identity,high
minecraft:beetroot,minecraft:beetroot,identity,high
minecraft:beetroot,minecraft:beetroots,auto,medium
minecraft:beetroot_seeds,minecraft:beetroot_seeds,identity,high
minecraft:beetroot_soup,minecraft:beetroot_soup,identity,high
minecraft:bell,minecraft:bell,identity,high
minecraft:big_dripleaf,minecraft:big_dripleaf,identity,high
minecraft:birch_boat,minecraft:birch_boat,identity,high
minecraft:birch_button,minecraft:birch_button,identity,high
minecraft:birch_chest_boat,minecraft:birch_boat,auto,medium
minecraft:birch_chest_boat,minecraft:birch_chest_boat,identity,high
minecraft:birch_door,minecraft:birch_door,identity,high
minecraft:birch_fence,minecraft:birch_fence,identity,high
minecraft:birch_fence,minecraft:birch_planks,auto,medium
minecraft:birch_fence_gate,minecraft:birch_fence_gate,identity,high
minecraft:birch_fence_gate,minecraft:birch_planks,auto,medium
minecraft:birch_hanging_sign,minecraft:birch_hanging_sign,identity,high
minecraft:birch_leaves,minecraft:birch_leaves,identity,high
minecraft:birch_log,minecraft:birch_log,identity,high
minecraft:birch_planks,minecraft:acacia_log,auto,medium
minecraft:birch_planks,minecraft:birch_log,auto,medium
minecraft:birch_planks,minecraft:birch_planks,identity,high
minecraft:birch_planks,minecraft:cherry_log,auto,medium
minecraft:birch_planks,minecraft:dark_oak_log,auto,medium
minecraft:birch_planks,minecraft:jungle_log,auto,medium
minecraft:birch_planks,minecraft:mangrove_log,auto,medium
minecraft:birch_planks,minecraft:oak_log,auto,medium
minecraft:birch_planks,minecraft:spruce_log,auto,medium
minecraft:birch_pressure_plate,minecraft:birch_pressure_plate,identity,high
minecraft:birch_sapling,minecraft:birch_leaves,auto,medium
minecraft:birch_sapling,minecraft:birch_sapling,identity,high
minecraft:birch_shelf,minecraft:birch_shelf,identity,high
minecraft:birch_sign,minecraft:birch_planks,auto,medium
minecraft:birch_sign,minecraft:birch_sign,identity,high
minecraft:birch_slab,minecraft:birch_slab,identity,high
minecraft:birch_stairs,minecraft:birch_stairs,identity,high
minecraft:birch_trapdoor,minecraft:birch_trapdoor,identity,high
minecraft:birch_wood,minecraft:birch_wood,identity,high
minecraft:black_banner,minecraft:black_banner,identity,high
minecraft:black_banner,minecraft:black_wool,auto,medium
minecraft:black_bed,minecraft:black_bed,identity,high
minecraft:black_bundle,minecraft:black_bundle,identity,high
minecraft:black_candle,minecraft:black_candle,identity,high
minecraft:black_carpet,minecraft:black_carpet,identity,high
minecraft:black_concrete,minecraft:black_concrete,identity,high
minecraft:black_concrete_powder,minecraft:black_concrete_powder,identity,high
minecraft:black_dye,minecraft:black_dye,identity,high
minecraft:black_glazed_terracotta,minecraft:black_glazed_terracotta,identity,high
minecraft:black_harness,minecraft:black_harness,identity,high
minecraft:black_shulker_box,minecraft:black_shulker_box,identity,high
minecraft:black_stained_glass,minecraft:black_stained_glass,identity,high
minecraft:black_stained_glass_pane,minecraft:black_stained_glass_pane,identity,high
minecraft:black_terracotta,minecraft:black_terracotta,identity,high
minecraft:black_wool,minecraft:black_wool,identity,high
minecraft:blackstone,minecraft:blackstone,identity,high
minecraft:blackstone_slab,minecraft:blackstone_slab,identity,high
minecraft:blackstone_stairs,minecraft:blackstone_stairs,identity,high
minecraft:blackstone_wall,minecraft:blackstone_wall,identity,high
minecraft:blade_pottery_sherd,minecraft:blade_pottery_sherd,identity,high
minecraft:blast_furnace,minecraft:blast_furnace,identity,high
minecraft:blast_furnace,minecraft:furnace,auto,medium
minecraft:blast_furnace,minecraft:smooth_stone,auto,medium
minecraft:blaze_powder,minecraft:blaze_powder,identity,high
minecraft:blaze_rod,minecraft:blaze_rod,identity,high
minecraft:blaze_spawn_egg,minecraft:blaze_spawn_egg,identity,high
minecraft:blue_banner,minecraft:blue_banner,identity,high
minecraft:blue_banner,minecraft:blue_wool,auto,medium
minecraft:blue_bed,minecraft:blue_bed,identity,high
minecraft:blue_bundle,minecraft:blue_bundle,identity,high
minecraft:blue_candle,minecraft:blue_candle,identity,high
minecraft:blue_carpet,minecraft:blue_carpet,identity,high
minecraft:blue_concrete,minecraft:blue_concrete,identity,high
minecraft:blue_concrete_powder,minecraft:blue_concrete_powder,identity,high
minecraft:blue_dye,minecraft:blue_dye,identity,high
minecraft:blue_egg,minecraft:blue_egg,identity,high
minecraft:blue_glazed_terracotta,minecraft:blue_glazed_terracotta,identity,high
minecraft:blue_harness,minecraft:blue_harness,identity,high
minecraft:blue_ice,minecraft:blue_ice,identity,high
minecraft:blue_orchid,minecraft:blue_orchid,identity,high
minecraft:blue_shulker_box,minecraft:blue_shulker_box,identity,high
minecraft:blue_stained_glass,minecraft:blue_stained_glass,identity,high
minecraft:blue_stained_glass_pane,minecraft:blue_stained_glass_pane,identity,high
minecraft:blue_terracotta,minecraft:blue_terracotta,identity,high
minecraft:blue_wool,minecraft:blue_wool,identity,high
minecraft:bogged_spawn_egg,minecraft:bogged_spawn_egg,identity,high
minecraft:bolt_armor_trim_smithing_template,minecraft:bolt_armor_trim_smithing_template,identity,high
minecraft:bolt_armor_trim_smithing_template,minecraft:copper_block,auto,medium
minecraft:bolt_armor_trim_smithing_template,minecraft:waxed_copper_block,auto,medium
minecraft:bone,minecraft:bone,identity,high
minecraft:bone_block,minecraft:bone_block,identity,high
minecraft:bone_meal,minecraft:bone_meal,identity,high
minecraft:book,minecraft:book,identity,high
minecraft:bookshelf,minecraft:bookshelf,identity,high
minecraft:bordure_indented_banner_pattern,minecraft:bordure_indented_banner_pattern,identity,high
minecraft:bow,minecraft:bow,identity,high
minecraft:bowl,minecraft:bowl,identity,high
minecraft:brain_coral,minecraft:brain_coral,identity,high
minecraft:brain_coral_block,minecraft:brain_coral_block,identity,high
minecraft:brain_coral_fan,minecraft:brain_coral_fan,identity,high
minecraft:bread,minecraft:bread,identity,high
minecraft:breeze_rod,minecraft:breeze_rod,identity,high
minecraft:breeze_spawn_egg,minecraft:breeze_spawn_egg,identity,high
minecraft:brewer_pottery_sherd,minecraft:brewer_pottery_sherd,identity,high
minecraft:brewing_stand,minecraft:brewing_stand,identity,high
minecraft:brick,minecraft:brick,identity,high
minecraft:brick_slab,minecraft:brick_slab,identity,high
minecraft:brick_stairs,minecraft:brick_stairs,identity,high
minecraft:brick_wall,minecraft:brick_wall,identity,high
minecraft:bricks,minecraft:bricks,identity,high
minecraft:brown_banner,minecraft:brown_banner,identity,high
minecraft:brown_banner,minecraft:brown_wool,auto,medium
minecraft:brown_bed,minecraft:brown_bed,identity,high
minecraft:brown_bundle,minecraft:brown_bundle,identity,high
minecraft:brown_candle,minecraft:brown_candle,identity,high
minecraft:brown_carpet,minecraft:brown_carpet,identity,high
minecraft:brown_concrete,minecraft:brown_concrete,identity,high
minecraft:brown_concrete_powder,minecraft:brown_concrete_powder,identity,high
minecraft:brown_dye,minecraft:brown_dye,identity,high
minecraft:brown_egg,minecraft:brown_egg,identity,high
minecraft:brown_glazed_terracotta,minecraft:brown_glazed_terracotta,identity,high
minecraft:brown_harness,minecraft:brown_harness,identity,high
minecraft:brown_mushroom,minecraft:brown_mushroom,identity,high
minecraft:brown_mushroom_block,minecraft:brown_mushroom_block,identity,high
minecraft:brown_shulker_box,minecraft:brown_shulker_box,identity,high
minecraft:brown_stained_glass,minecraft:brown_stained_glass,identity,high
minecraft:brown_stained_glass_pane,minecraft:brown_stained_glass_pane,identity,high
minecraft:brown_terracotta,minecraft:brown_terracotta,identity,high
minecraft:brown_wool,minecraft:brown_wool,identity,high
minecraft:brush,minecraft:brush,identity,high
minecraft:brush,minecraft:feather,auto,medium
minecraft:bubble_coral,minecraft:bubble_coral,identity,high
minecraft:bubble_coral_block,minecraft:bubble_coral_block,identity,high
minecraft:bubble_coral_fan,minecraft:bubble_coral_fan,identity,high
minecraft:bucket,minecraft:bucket,identity,high
minecraft:budding_amethyst,minecraft:budding_amethyst,identity,high
minecraft:bundle,minecraft:bundle,identity,high
minecraft:bundle,minecraft:leather,auto,medium
minecraft:burn_pottery_sherd,minecraft:burn_pottery_sherd,identity,high
minecraft:bush,minecraft:bush,identity,high
minecraft:cactus,minecraft:cactus,identity,high
minecraft:cactus_flower,minecraft:cactus_flower,identity,high
minecraft:cake,minecraft:cake,identity,high
minecraft:calcite,minecraft:calcite,identity,high
minecraft:calibrated_sculk_sensor,minecraft:calibrated_sculk_sensor,identity,high
minecraft:calibrated_sculk_sensor,minecraft:sculk_sensor,auto,medium
minecraft:camel_husk_spawn_egg,minecraft:camel_husk_spawn_egg,identity,high
minecraft:camel_spawn_egg,minecraft:camel_spawn_egg,identity,high
minecraft:campfire,minecraft:campfire,identity,high
minecraft:candle,minecraft:candle,identity,high
minecraft:candle,minecraft:honeycomb,auto,medium
minecraft:carrot,minecraft:carrot,identity,high
minecraft:carrot,minecraft:carrots,auto,medium
minecraft:carrot_on_a_stick,minecraft:carrot_on_a_stick,identity,high
minecraft:cartography_table,minecraft:cartography_table,identity,high
minecraft:carved_pumpkin,minecraft:carved_pumpkin,identity,high
minecraft:cat_spawn_egg,minecraft:cat_spawn_egg,identity,high
minecraft:cauldron,minecraft:cauldron,identity,high
minecraft:cave_spider_spawn_egg,minecraft:cave_spider_spawn_egg,identity,high
minecraft:chain_command_block,minecraft:chain_command_block,identity,high
minecraft:chainmail_boots,minecraft:chainmail_boots,identity,high
minecraft:chainmail_chestplate,minecraft:chainmail_chestplate,identity,high
minecraft:chainmail_helmet,minecraft:chainmail_helmet,identity,high
minecraft:chainmail_leggings,minecraft:chainmail_leggings,identity,high
minecraft:charcoal,minecraft:charcoal,identity,high
minecraft:cherry_boat,minecraft:cherry_boat,identity,high
minecraft:cherry_button,minecraft:cherry_button,identity,high
minecraft:cherry_chest_boat,minecraft:cherry_boat,auto,medium
minecraft:cherry_chest_boat,minecraft:cherry_chest_boat,identity,high
minecraft:cherry_door,minecraft:cherry_door,identity,high
minecraft:cherry_fence,minecraft:cherry_fence,identity,high
minecraft:cherry_fence,minecraft:cherry_planks,auto,medium
minecraft:cherry_fence_gate,minecraft:cherry_fence_gate,identity,high
minecraft:cherry_fence_gate,minecraft:cherry_planks,auto,medium
minecraft:cherry_hanging_sign,minecraft:cherry_hanging_sign,identity,high
minecraft:cherry_leaves,minecraft:cherry_leaves,identity,high
minecraft:cherry_log,minecraft:cherry_log,identity,high
minecraft:cherry_planks,minecraft:acacia_log,auto,medium
minecraft:cherry_planks,minecraft:birch_log,auto,medium
minecraft:cherry_planks,minecraft:cherry_log,auto,medium
minecraft:cherry_planks,minecraft:cherry_planks,identity,high
minecraft:cherry_planks,minecraft:dark_oak_log,auto,medium
minecraft:cherry_planks,minecraft:jungle_log,auto,medium
minecraft:cherry_planks,minecraft:mangrove_log,auto,medium
minecraft:cherry_planks,minecraft:oak_log,auto,medium
minecraft:cherry_planks,minecraft:spruce_log,auto,medium
minecraft:cherry_pressure_plate,minecraft:cherry_pressure_plate,identity,high
minecraft:cherry_sapling,minecraft:cherry_leaves,auto,medium
minecraft:cherry_sapling,minecraft:cherry_sapling,identity,high
minecraft:cherry_shelf,minecraft:cherry_shelf,identity,high
minecraft:cherry_sign,minecraft:cherry_planks,auto,medium
minecraft:cherry_sign,minecraft:cherry_sign,identity,high
minecraft:cherry_slab,minecraft:cherry_slab,identity,high
minecraft:cherry_stairs,minecraft:cherry_stairs,identity,high
minecraft:cherry_trapdoor,minecraft:cherry_trapdoor,identity,high
minecraft:cherry_wood,minecraft:cherry_wood,identity,high
minecraft:chest,minecraft:chest,identity,high
minecraft:chest_minecart,minecraft:chest_minecart,identity,high
minecraft:chest_minecart,minecraft:minecart,auto,medium
minecraft:chicken,minecraft:chicken,identity,high
minecraft:chicken_spawn_egg,minecraft:chicken_spawn_egg,identity,high
minecraft:chipped_anvil,minecraft:chipped_anvil,identity,high
minecraft:chiseled_bookshelf,minecraft:chiseled_bookshelf,identity,high
minecraft:chiseled_copper,minecraft:chiseled_copper,identity,high
minecraft:chiseled_deepslate,minecraft:chiseled_deepslate,identity,high
minecraft:chiseled_nether_bricks,minecraft:chiseled_nether_bricks,identity,high
minecraft:chiseled_polished_blackstone,minecraft:chiseled_polished_blackstone,identity,high
minecraft:chiseled_quartz_block,minecraft:chiseled_quartz_block,identity,high
minecraft:chiseled_red_sandstone,minecraft:chiseled_red_sandstone,identity,high
minecraft:chiseled_resin_bricks,minecraft:chiseled_resin_bricks,identity,high
minecraft:chiseled_sandstone,minecraft:chiseled_sandstone,identity,high
minecraft:chiseled_stone_bricks,minecraft:chiseled_stone_bricks,identity,high
minecraft:chiseled_tuff,minecraft:chiseled_tuff,identity,high
minecraft:chiseled_tuff_bricks,minecraft:chiseled_tuff_bricks,identity,high
minecraft:chorus_flower,minecraft:chorus_flower,identity,high
minecraft:chorus_fruit,minecraft:chorus_fruit,identity,high
minecraft:chorus_plant,minecraft:chorus_plant,identity,high
minecraft:clay,minecraft:clay,identity,high
minecraft:clay_ball,minecraft:clay_ball,identity,high
minecraft:clock,minecraft:clock,identity,high
minecraft:clock,minecraft:redstone,auto,medium
minecraft:closed_eyeblossom,minecraft:closed_eyeblossom,identity,high
minecraft:coal,minecraft:coal,identity,high
minecraft:coal,minecraft:coal_ore,auto,medium
minecraft:coal,minecraft:deepslate_coal_ore,auto,medium
minecraft:coal_block,minecraft:coal_block,identity,high
minecraft:coal_ore,minecraft:coal_ore,identity,high
minecraft:coarse_dirt,minecraft:coarse_dirt,identity,high
minecraft:coast_armor_trim_smithing_template,minecraft:coast_armor_trim_smithing_template,identity,high
minecraft:cobbled_deepslate,minecraft:cobbled_deepslate,identity,high
minecraft:cobbled_deepslate_slab,minecraft:cobbled_deepslate_slab,identity,high
minecraft:cobbled_deepslate_stairs,minecraft:cobbled_deepslate_stairs,identity,high
minecraft:cobbled_deepslate_wall,minecraft:cobbled_deepslate_wall,identity,high
minecraft:cobblestone,minecraft:cobblestone,identity,high
minecraft:cobblestone,minecraft:stone,auto,medium
minecraft:cobblestone_slab,minecraft:cobblestone_slab,identity,high
minecraft:cobblestone_stairs,minecraft:cobblestone_stairs,identity,high
minecraft:cobblestone_wall,minecraft:cobblestone_wall,identity,high
minecraft:cobweb,minecraft:cobweb,identity,high
minecraft:cocoa_beans,minecraft:cocoa,auto,medium
minecraft:cocoa_beans,minecraft:cocoa_beans,identity,high
minecraft:cod,minecraft:cod,identity,high
minecraft:cod_bucket,minecraft:cod_bucket,identity,high
minecraft:cod_spawn_egg,minecraft:cod_spawn_egg,identity,high
minecraft:command_block,minecraft:command_block,identity,high
minecraft:command_block_minecart,minecraft:command_block_minecart,identity,high
minecraft:comparator,minecraft:comparator,identity,high
minecraft:compass,minecraft:compass,identity,high
minecraft:compass,minecraft:redstone,auto,medium
minecraft:composter,minecraft:composter,identity,high
minecraft:conduit,minecraft:conduit,identity,high
minecraft:cooked_beef,minecraft:cooked_beef,identity,high
minecraft:cooked_chicken,minecraft:cooked_chicken,identity,high
minecraft:cooked_cod,minecraft:cooked_cod,identity,high
minecraft:cooked_mutton,minecraft:cooked_mutton,identity,high
minecraft:cooked_porkchop,minecraft:cooked_porkchop,identity,high
minecraft:cooked_rabbit,minecraft:cooked_rabbit,identity,high
minecraft:cooked_salmon,minecraft:cooked_salmon,identity,high
minecraft:cookie,minecraft:cookie,identity,high
minecraft:copper_axe,minecraft:copper_axe,identity,high
minecraft:copper_block,minecraft:copper_block,identity,high
minecraft:copper_boots,minecraft:copper_boots,identity,high
minecraft:copper_bulb,minecraft:copper_bulb,identity,high
minecraft:copper_chain,minecraft:copper_nugget,auto,medium
minecraft:copper_chest,minecraft:copper_chest,identity,high
minecraft:copper_chestplate,minecraft:copper_chestplate,identity,high
minecraft:copper_door,minecraft:copper_door,identity,high
minecraft:copper_golem_spawn_egg,minecraft:copper_golem_spawn_egg,identity,high
minecraft:copper_golem_statue,minecraft:copper_golem_statue,identity,high
minecraft:copper_grate,minecraft:copper_grate,identity,high
minecraft:copper_helmet,minecraft:copper_helmet,identity,high
minecraft:copper_hoe,minecraft:copper_hoe,identity,high
minecraft:copper_horse_armor,minecraft:copper_horse_armor,identity,high
minecraft:copper_ingot,minecraft:copper_ingot,identity,high
minecraft:copper_ingot,minecraft:copper_ore,auto,medium
minecraft:copper_ingot,minecraft:deepslate_copper_ore,auto,medium
minecraft:copper_leggings,minecraft:copper_leggings,identity,high
minecraft:copper_nautilus_armor,minecraft:copper_nautilus_armor,identity,high
minecraft:copper_nugget,minecraft:copper_nugget,identity,high
minecraft:copper_ore,minecraft:copper_ore,identity,high
minecraft:copper_pickaxe,minecraft:copper_pickaxe,identity,high
minecraft:copper_shovel,minecraft:copper_shovel,identity,high
minecraft:copper_spear,minecraft:copper_spear,identity,high
minecraft:copper_sword,minecraft:copper_sword,identity,high
minecraft:copper_torch,minecraft:charcoal,auto,medium
minecraft:copper_torch,minecraft:coal,auto,medium
minecraft:copper_torch,minecraft:copper_nugget,auto,medium
minecraft:copper_torch,minecraft:copper_torch,identity,high
minecraft:copper_trapdoor,minecraft:copper_trapdoor,identity,high
minecraft:cornflower,minecraft:cornflower,identity,high
minecraft:cow_spawn_egg,minecraft:cow_spawn_egg,identity,high
minecraft:cracked_deepslate_bricks,minecraft:cracked_deepslate_bricks,identity,high
minecraft:cracked_deepslate_tiles,minecraft:cracked_deepslate_tiles,identity,high
minecraft:cracked_nether_bricks,minecraft:cracked_nether_bricks,identity,high
minecraft:cracked_polished_blackstone_bricks,minecraft:cracked_polished_blackstone_bricks,identity,high
minecraft:cracked_stone_bricks,minecraft:cracked_stone_bricks,identity,high
minecraft:crafter,minecraft:crafter,identity,high
minecraft:crafter,minecraft:crafting_table,auto,medium
minecraft:crafter,minecraft:dropper,auto,medium
minecraft:crafter,minecraft:redstone,auto,medium
minecraft:crafting_table,minecraft:acacia_log,auto,medium
minecraft:crafting_table,minecraft:bamboo_block,auto,medium
minecraft:crafting_table,minecraft:birch_log,auto,medium
minecraft:crafting_table,minecraft:cherry_log,auto,medium
minecraft:crafting_table,minecraft:crafting_table,identity,high
minecraft:crafting_table,minecraft:crimson_stem,auto,medium
minecraft:crafting_table,minecraft:dark_oak_log,auto,medium
minecraft:crafting_table,minecraft:jungle_log,auto,medium
minecraft:crafting_table,minecraft:mangrove_log,auto,medium
minecraft:crafting_table,minecraft:oak_log,auto,medium
minecraft:crafting_table,minecraft:spruce_log,auto,medium
minecraft:crafting_table,minecraft:warped_stem,auto,medium
minecraft:creaking_heart,minecraft:creaking_heart,identity,high
minecraft:creaking_spawn_egg,minecraft:creaking_spawn_egg,identity,high
minecraft:creeper_banner_pattern,minecraft:creeper_banner_pattern,identity,high
minecraft:creeper_head,minecraft:creeper_head,identity,high
minecraft:creeper_spawn_egg,minecraft:creeper_spawn_egg,identity,high
minecraft:crimson_button,minecraft:crimson_button,identity,high
minecraft:crimson_door,minecraft:crimson_door,identity,high
minecraft:crimson_fence,minecraft:crimson_fence,identity,high
minecraft:crimson_fence,minecraft:crimson_planks,auto,medium
minecraft:crimson_fence_gate,minecraft:crimson_fence_gate,identity,high
minecraft:crimson_fence_gate,minecraft:crimson_planks,auto,medium
minecraft:crimson_fungus,minecraft:crimson_fungus,identity,high
minecraft:crimson_hanging_sign,minecraft:crimson_hanging_sign,identity,high
minecraft:crimson_hyphae,minecraft:crimson_hyphae,identity,high
minecraft:crimson_nylium,minecraft:crimson_nylium,identity,high
minecraft:crimson_planks,minecraft:crimson_hyphae,auto,medium
minecraft:crimson_planks,minecraft:crimson_planks,identity,high
minecraft:crimson_planks,minecraft:crimson_stem,auto,medium
minecraft:crimson_pressure_plate,minecraft:crimson_pressure_plate,identity,high
minecraft:crimson_roots,minecraft:crimson_roots,identity,high
minecraft:crimson_shelf,minecraft:crimson_shelf,identity,high
minecraft:crimson_sign,minecraft:crimson_planks,auto,medium
minecraft:crimson_sign,minecraft:crimson_sign,identity,high
minecraft:crimson_slab,minecraft:crimson_slab,identity,high
minecraft:crimson_stairs,minecraft:crimson_stairs,identity,high
minecraft:crimson_stem,minecraft:crimson_stem,identity,high
minecraft:crimson_trapdoor,minecraft:crimson_trapdoor,identity,high
minecraft:crossbow,minecraft:crossbow,identity,high
minecraft:crossbow,minecraft:tripwire_hook,auto,medium
minecraft:crying_obsidian,minecraft:crying_obsidian,identity,high
minecraft:cut_copper,minecraft:cut_copper,identity,high
minecraft:cut_copper_slab,minecraft:cut_copper_slab,identity,high
minecraft:cut_copper_stairs,minecraft:cut_copper_stairs,identity,high
minecraft:cut_red_sandstone,minecraft:cut_red_sandstone,identity,high
minecraft:cut_red_sandstone_slab,minecraft:cut_red_sandstone_slab,identity,high
minecraft:cut_sandstone,minecraft:cut_sandstone,identity,high
minecraft:cut_standstone_slab,minecraft:cut_standstone_slab,identity,high
minecraft:cyan_banner,minecraft:cyan_banner,identity,high
minecraft:cyan_banner,minecraft:cyan_wool,auto,medium
minecraft:cyan_bed,minecraft:cyan_bed,identity,high
minecraft:cyan_bundle,minecraft:cyan_bundle,identity,high
minecraft:cyan_candle,minecraft:cyan_candle,identity,high
minecraft:cyan_carpet,minecraft:cyan_carpet,identity,high
minecraft:cyan_concrete,minecraft:cyan_concrete,identity,high
minecraft:cyan_concrete_powder,minecraft:cyan_concrete_powder,identity,high
minecraft:cyan_dye,minecraft:cyan_dye,identity,high
minecraft:cyan_glazed_terracotta,minecraft:cyan_glazed_terracotta,identity,high
minecraft:cyan_harness,minecraft:cyan_harness,identity,high
minecraft:cyan_shulker_box,minecraft:cyan_shulker_box,identity,high
minecraft:cyan_stained_glass,minecraft:cyan_stained_glass,identity,high
minecraft:cyan_stained_glass_pane,minecraft:cyan_stained_glass_pane,identity,high
minecraft:cyan_terracotta,minecraft:cyan_terracotta,identity,high
