output_item_id,output_count,input_item_id,input_count,station,recipe_id,recipe_type
minecraft:bamboo_hanging_sign,6,minecraft:iron_chain,2,CRAFTING_TABLE,bamboo_hanging_sign,minecraft:crafting_shaped
minecraft:bamboo_hanging_sign,6,minecraft:stripped_bamboo_block,6,CRAFTING_TABLE,bamboo_hanging_sign,minecraft:crafting_shaped
minecraft:bamboo_mosaic,1,minecraft:bamboo_slab,2,CRAFTING_TABLE,bamboo_mosaic,minecraft:crafting_shaped
minecraft:bamboo_mosaic_slab,6,minecraft:bamboo_mosaic,3,CRAFTING_TABLE,bamboo_mosaic_slab,minecraft:crafting_shaped
minecraft:bamboo_mosaic_stairs,4,minecraft:bamboo_mosaic,6,CRAFTING_TABLE,bamboo_mosaic_stairs,minecraft:crafting_shaped
minecraft:bamboo_pressure_plate,1,minecraft:bamboo_planks,2,CRAFTING_TABLE,bamboo_pressure_plate,minecraft:crafting_shaped
minecraft:bamboo_raft,1,minecraft:bamboo_planks,5,CRAFTING_TABLE,bamboo_raft,minecraft:crafting_shaped
minecraft:bamboo_shelf,6,minecraft:stripped_bamboo_block,6,CRAFTING_TABLE,bamboo_shelf,minecraft:crafting_shaped
minecraft:bamboo_sign,3,minecraft:bamboo_planks,6,CRAFTING_TABLE,bamboo_sign,minecraft:crafting_shaped
minecraft:bamboo_sign,3,minecraft:stick,1,CRAFTING_TABLE,bamboo_sign,minecraft:crafting_shaped
minecraft:bamboo_slab,6,minecraft:bamboo_planks,3,CRAFTING_TABLE,bamboo_slab,minecraft:crafting_shaped
minecraft:bamboo_stairs,4,minecraft:bamboo_planks,6,CRAFTING_TABLE,bamboo_stairs,minecraft:crafting_shaped
minecraft:bamboo_trapdoor,2,minecraft:bamboo_planks,6,CRAFTING_TABLE,bamboo_trapdoor,minecraft:crafting_shaped
minecraft:beacon,1,minecraft:glass,5,CRAFTING_TABLE,beacon,minecraft:crafting_shaped
minecraft:beacon,1,minecraft:nether_star,1,CRAFTING_TABLE,beacon,minecraft:crafting_shaped
minecraft:beacon,1,minecraft:obsidian,3,CRAFTING_TABLE,beacon,minecraft:crafting_shaped
minecraft:beehive,1,minecraft:honeycomb,3,CRAFTING_TABLE,beehive,minecraft:crafting_shaped
minecraft:beetroot_soup,1,minecraft:beetroot,6,CRAFTING_TABLE,beetroot_soup,minecraft:crafting_shapeless
minecraft:beetroot_soup,1,minecraft:bowl,1,CRAFTING_TABLE,beetroot_soup,minecraft:crafting_shapeless
minecraft:birch_boat,1,minecraft:birch_planks,5,CRAFTING_TABLE,birch_boat,minecraft:crafting_shaped
minecraft:birch_button,1,minecraft:birch_planks,1,CRAFTING_TABLE,birch_button,minecraft:crafting_shapeless
minecraft:birch_chest_boat,1,minecraft:birch_boat,1,CRAFTING_TABLE,birch_chest_boat,minecraft:crafting_shapeless
minecraft:birch_chest_boat,1,minecraft:chest,1,CRAFTING_TABLE,birch_chest_boat,minecraft:crafting_shapeless
minecraft:birch_door,3,minecraft:birch_planks,6,CRAFTING_TABLE,birch_door,minecraft:crafting_shaped
minecraft:birch_fence,3,minecraft:birch_planks,4,CRAFTING_TABLE,birch_fence,minecraft:crafting_shaped
minecraft:birch_fence,3,minecraft:stick,2,CRAFTING_TABLE,birch_fence,minecraft:crafting_shaped
minecraft:birch_fence_gate,1,minecraft:birch_planks,2,CRAFTING_TABLE,birch_fence_gate,minecraft:crafting_shaped
minecraft:birch_fence_gate,1,minecraft:stick,4,CRAFTING_TABLE,birch_fence_gate,minecraft:crafting_shaped
minecraft:birch_hanging_sign,6,minecraft:iron_chain,2,CRAFTING_TABLE,birch_hanging_sign,minecraft:crafting_shaped
minecraft:birch_hanging_sign,6,minecraft:stripped_birch_log,6,CRAFTING_TABLE,birch_hanging_sign,minecraft:crafting_shaped
minecraft:birch_pressure_plate,1,minecraft:birch_planks,2,CRAFTING_TABLE,birch_pressure_plate,minecraft:crafting_shaped
minecraft:birch_shelf,6,minecraft:stripped_birch_log,6,CRAFTING_TABLE,birch_shelf,minecraft:crafting_shaped
minecraft:birch_sign,3,minecraft:birch_planks,6,CRAFTING_TABLE,birch_sign,minecraft:crafting_shaped
minecraft:birch_sign,3,minecraft:stick,1,CRAFTING_TABLE,birch_sign,minecraft:crafting_shaped
minecraft:birch_slab,6,minecraft:birch_planks,3,CRAFTING_TABLE,birch_slab,minecraft:crafting_shaped
minecraft:birch_stairs,4,minecraft:birch_planks,6,CRAFTING_TABLE,birch_stairs,minecraft:crafting_shaped
minecraft:birch_trapdoor,2,minecraft:birch_planks,6,CRAFTING_TABLE,birch_trapdoor,minecraft:crafting_shaped
minecraft:birch_wood,3,minecraft:birch_log,4,CRAFTING_TABLE,birch_wood,minecraft:crafting_shaped
minecraft:black_banner,1,minecraft:black_wool,6,CRAFTING_TABLE,black_banner,minecraft:crafting_shaped
minecraft:black_banner,1,minecraft:stick,1,CRAFTING_TABLE,black_banner,minecraft:crafting_shaped
minecraft:black_bed,1,minecraft:black_wool,3,CRAFTING_TABLE,black_bed,minecraft:crafting_shaped
minecraft:black_bed,1,minecraft:black_dye,1,CRAFTING_TABLE,dye_black_bed,minecraft:crafting_shapeless
minecraft:black_bed,1,minecraft:blue_bed,1,CRAFTING_TABLE,dye_black_bed,minecraft:crafting_shapeless
minecraft:black_candle,1,minecraft:black_dye,1,CRAFTING_TABLE,black_candle,minecraft:crafting_shapeless
minecraft:black_candle,1,minecraft:candle,1,CRAFTING_TABLE,black_candle,minecraft:crafting_shapeless
minecraft:black_carpet,3,minecraft:black_wool,2,CRAFTING_TABLE,black_carpet,minecraft:crafting_shaped
minecraft:black_carpet,1,minecraft:black_dye,1,CRAFTING_TABLE,dye_black_carpet,minecraft:crafting_shapeless
minecraft:black_carpet,1,minecraft:blue_carpet,1,CRAFTING_TABLE,dye_black_carpet,minecraft:crafting_shapeless
minecraft:black_concrete_powder,8,minecraft:black_dye,1,CRAFTING_TABLE,black_concrete_powder,minecraft:crafting_shapeless
minecraft:black_concrete_powder,8,minecraft:gravel,4,CRAFTING_TABLE,black_concrete_powder,minecraft:crafting_shapeless
minecraft:black_concrete_powder,8,minecraft:sand,4,CRAFTING_TABLE,black_concrete_powder,minecraft:crafting_shapeless
minecraft:black_dye,1,minecraft:ink_sac,1,CRAFTING_TABLE,black_dye,minecraft:crafting_shapeless
minecraft:black_dye,1,minecraft:wither_rose,1,CRAFTING_TABLE,black_dye_from_wither_rose,minecraft:crafting_shapeless
minecraft:black_glazed_terracotta,1,minecraft:black_terracotta,1,FURNACE,black_glazed_terracotta,minecraft:smelting
minecraft:black_harness,1,minecraft:black_wool,1,CRAFTING_TABLE,black_harness,minecraft:crafting_shaped
minecraft:black_harness,1,minecraft:glass,2,CRAFTING_TABLE,black_harness,minecraft:crafting_shaped
minecraft:black_harness,1,minecraft:leather,3,CRAFTING_TABLE,black_harness,minecraft:crafting_shaped
minecraft:black_harness,1,minecraft:black_dye,1,CRAFTING_TABLE,dye_black_harness,minecraft:crafting_shapeless
minecraft:black_harness,1,minecraft:blue_harness,1,CRAFTING_TABLE,dye_black_harness,minecraft:crafting_shapeless
minecraft:black_stained_glass,8,minecraft:black_dye,1,CRAFTING_TABLE,black_stained_glass,minecraft:crafting_shaped
minecraft:black_stained_glass,8,minecraft:glass,8,CRAFTING_TABLE,black_stained_glass,minecraft:crafting_shaped
minecraft:black_stained_glass_pane,16,minecraft:black_stained_glass,6,CRAFTING_TABLE,black_stained_glass_pane,minecraft:crafting_shaped
minecraft:black_stained_glass_pane,8,minecraft:black_dye,1,CRAFTING_TABLE,black_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:black_stained_glass_pane,8,minecraft:glass_pane,8,CRAFTING_TABLE,black_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:black_terracotta,8,minecraft:black_dye,1,CRAFTING_TABLE,black_terracotta,minecraft:crafting_shaped
minecraft:black_terracotta,8,minecraft:terracotta,8,CRAFTING_TABLE,black_terracotta,minecraft:crafting_shaped
minecraft:black_wool,1,minecraft:black_dye,1,CRAFTING_TABLE,dye_black_wool,minecraft:crafting_shapeless
minecraft:black_wool,1,minecraft:blue_wool,1,CRAFTING_TABLE,dye_black_wool,minecraft:crafting_shapeless
minecraft:blackstone_slab,6,minecraft:blackstone,3,CRAFTING_TABLE,blackstone_slab,minecraft:crafting_shaped
minecraft:blackstone_slab,2,minecraft:blackstone,1,STONECUTTER,blackstone_slab_from_blackstone_stonecutting,minecraft:stonecutting
minecraft:blackstone_stairs,4,minecraft:blackstone,6,CRAFTING_TABLE,blackstone_stairs,minecraft:crafting_shaped
minecraft:blackstone_stairs,1,minecraft:blackstone,1,STONECUTTER,blackstone_stairs_from_blackstone_stonecutting,minecraft:stonecutting
minecraft:blackstone_wall,6,minecraft:blackstone,6,CRAFTING_TABLE,blackstone_wall,minecraft:crafting_shaped
minecraft:blackstone_wall,1,minecraft:blackstone,1,STONECUTTER,blackstone_wall_from_blackstone_stonecutting,minecraft:stonecutting
minecraft:blast_furnace,1,minecraft:furnace,1,CRAFTING_TABLE,blast_furnace,minecraft:crafting_shaped
minecraft:blast_furnace,1,minecraft:iron_ingot,5,CRAFTING_TABLE,blast_furnace,minecraft:crafting_shaped
minecraft:blast_furnace,1,minecraft:smooth_stone,3,CRAFTING_TABLE,blast_furnace,minecraft:crafting_shaped
minecraft:blaze_powder,2,minecraft:blaze_rod,1,CRAFTING_TABLE,blaze_powder,minecraft:crafting_shapeless
minecraft:blue_banner,1,minecraft:blue_wool,6,CRAFTING_TABLE,blue_banner,minecraft:crafting_shaped
minecraft:blue_banner,1,minecraft:stick,1,CRAFTING_TABLE,blue_banner,minecraft:crafting_shaped
minecraft:blue_bed,1,minecraft:blue_wool,3,CRAFTING_TABLE,blue_bed,minecraft:crafting_shaped
minecraft:blue_bed,1,minecraft:black_bed,1,CRAFTING_TABLE,dye_blue_bed,minecraft:crafting_shapeless
minecraft:blue_bed,1,minecraft:blue_dye,1,CRAFTING_TABLE,dye_blue_bed,minecraft:crafting_shapeless
minecraft:blue_candle,1,minecraft:blue_dye,1,CRAFTING_TABLE,blue_candle,minecraft:crafting_shapeless
minecraft:blue_candle,1,minecraft:candle,1,CRAFTING_TABLE,blue_candle,minecraft:crafting_shapeless
minecraft:blue_carpet,3,minecraft:blue_wool,2,CRAFTING_TABLE,blue_carpet,minecraft:crafting_shaped
minecraft:blue_carpet,1,minecraft:black_carpet,1,CRAFTING_TABLE,dye_blue_carpet,minecraft:crafting_shapeless
minecraft:blue_carpet,1,minecraft:blue_dye,1,CRAFTING_TABLE,dye_blue_carpet,minecraft:crafting_shapeless
minecraft:blue_concrete_powder,8,minecraft:blue_dye,1,CRAFTING_TABLE,blue_concrete_powder,minecraft:crafting_shapeless
minecraft:blue_concrete_powder,8,minecraft:gravel,4,CRAFTING_TABLE,blue_concrete_powder,minecraft:crafting_shapeless
minecraft:blue_concrete_powder,8,minecraft:sand,4,CRAFTING_TABLE,blue_concrete_powder,minecraft:crafting_shapeless
minecraft:blue_dye,1,minecraft:lapis_lazuli,1,CRAFTING_TABLE,blue_dye,minecraft:crafting_shapeless
minecraft:blue_dye,1,minecraft:cornflower,1,CRAFTING_TABLE,blue_dye_from_cornflower,minecraft:crafting_shapeless
minecraft:blue_glazed_terracotta,1,minecraft:blue_terracotta,1,FURNACE,blue_glazed_terracotta,minecraft:smelting
minecraft:blue_harness,1,minecraft:blue_wool,1,CRAFTING_TABLE,blue_harness,minecraft:crafting_shaped
minecraft:blue_harness,1,minecraft:glass,2,CRAFTING_TABLE,blue_harness,minecraft:crafting_shaped
minecraft:blue_harness,1,minecraft:leather,3,CRAFTING_TABLE,blue_harness,minecraft:crafting_shaped
minecraft:blue_harness,1,minecraft:black_harness,1,CRAFTING_TABLE,dye_blue_harness,minecraft:crafting_shapeless
minecraft:blue_harness,1,minecraft:blue_dye,1,CRAFTING_TABLE,dye_blue_harness,minecraft:crafting_shapeless
minecraft:blue_ice,1,minecraft:packed_ice,9,CRAFTING_TABLE,blue_ice,minecraft:crafting_shapeless
minecraft:blue_stained_glass,8,minecraft:blue_dye,1,CRAFTING_TABLE,blue_stained_glass,minecraft:crafting_shaped
minecraft:blue_stained_glass,8,minecraft:glass,8,CRAFTING_TABLE,blue_stained_glass,minecraft:crafting_shaped
minecraft:blue_stained_glass_pane,16,minecraft:blue_stained_glass,6,CRAFTING_TABLE,blue_stained_glass_pane,minecraft:crafting_shaped
minecraft:blue_stained_glass_pane,8,minecraft:blue_dye,1,CRAFTING_TABLE,blue_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:blue_stained_glass_pane,8,minecraft:glass_pane,8,CRAFTING_TABLE,blue_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:blue_terracotta,8,minecraft:blue_dye,1,CRAFTING_TABLE,blue_terracotta,minecraft:crafting_shaped
minecraft:blue_terracotta,8,minecraft:terracotta,8,CRAFTING_TABLE,blue_terracotta,minecraft:crafting_shaped
minecraft:blue_wool,1,minecraft:black_wool,1,CRAFTING_TABLE,dye_blue_wool,minecraft:crafting_shapeless
minecraft:blue_wool,1,minecraft:blue_dye,1,CRAFTING_TABLE,dye_blue_wool,minecraft:crafting_shapeless
minecraft:bolt_armor_trim_smithing_template,2,minecraft:bolt_armor_trim_smithing_template,1,CRAFTING_TABLE,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
minecraft:bolt_armor_trim_smithing_template,2,minecraft:copper_block,1,CRAFTING_TABLE,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
minecraft:bolt_armor_trim_smithing_template,2,minecraft:diamond,7,CRAFTING_TABLE,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
minecraft:bone_block,1,minecraft:bone_meal,9,CRAFTING_TABLE,bone_block,minecraft:crafting_shaped
minecraft:bone_meal,3,minecraft:bone,1,CRAFTING_TABLE,bone_meal,minecraft:crafting_shapeless
minecraft:bone_meal,9,minecraft:bone_block,1,CRAFTING_TABLE,bone_meal_from_bone_block,minecraft:crafting_shapeless
minecraft:book,1,minecraft:leather,1,CRAFTING_TABLE,book,minecraft:crafting_shapeless
minecraft:book,1,minecraft:paper,3,CRAFTING_TABLE,book,minecraft:crafting_shapeless
minecraft:bookshelf,1,minecraft:book,3,CRAFTING_TABLE,bookshelf,minecraft:crafting_shaped
minecraft:bordure_indented_banner_pattern,1,minecraft:paper,1,CRAFTING_TABLE,bordure_indented_banner_pattern,minecraft:crafting_shapeless
minecraft:bordure_indented_banner_pattern,1,minecraft:vine,1,CRAFTING_TABLE,bordure_indented_banner_pattern,minecraft:crafting_shapeless
minecraft:bow,1,minecraft:stick,3,CRAFTING_TABLE,bow,minecraft:crafting_shaped
minecraft:bow,1,minecraft:string,3,CRAFTING_TABLE,bow,minecraft:crafting_shaped
minecraft:bread,1,minecraft:wheat,3,CRAFTING_TABLE,bread,minecraft:crafting_shaped
minecraft:brewing_stand,1,minecraft:blaze_rod,1,CRAFTING_TABLE,brewing_stand,minecraft:crafting_shaped
minecraft:brick,1,minecraft:clay_ball,1,FURNACE,brick,minecraft:smelting
minecraft:brick_slab,6,minecraft:bricks,3,CRAFTING_TABLE,brick_slab,minecraft:crafting_shaped
minecraft:brick_slab,2,minecraft:bricks,1,STONECUTTER,brick_slab_from_bricks_stonecutting,minecraft:stonecutting
minecraft:brick_stairs,4,minecraft:bricks,6,CRAFTING_TABLE,brick_stairs,minecraft:crafting_shaped
minecraft:brick_stairs,1,minecraft:bricks,1,STONECUTTER,brick_stairs_from_bricks_stonecutting,minecraft:stonecutting
minecraft:brick_wall,6,minecraft:bricks,6,CRAFTING_TABLE,brick_wall,minecraft:crafting_shaped
minecraft:brick_wall,1,minecraft:bricks,1,STONECUTTER,brick_wall_from_bricks_stonecutting,minecraft:stonecutting
minecraft:bricks,1,minecraft:brick,4,CRAFTING_TABLE,bricks,minecraft:crafting_shaped
minecraft:brown_banner,1,minecraft:brown_wool,6,CRAFTING_TABLE,brown_banner,minecraft:crafting_shaped
minecraft:brown_banner,1,minecraft:stick,1,CRAFTING_TABLE,brown_banner,minecraft:crafting_shaped
minecraft:brown_bed,1,minecraft:brown_wool,3,CRAFTING_TABLE,brown_bed,minecraft:crafting_shaped
minecraft:brown_bed,1,minecraft:black_bed,1,CRAFTING_TABLE,dye_brown_bed,minecraft:crafting_shapeless
minecraft:brown_bed,1,minecraft:brown_dye,1,CRAFTING_TABLE,dye_brown_bed,minecraft:crafting_shapeless
minecraft:brown_candle,1,minecraft:brown_dye,1,CRAFTING_TABLE,brown_candle,minecraft:crafting_shapeless
minecraft:brown_candle,1,minecraft:candle,1,CRAFTING_TABLE,brown_candle,minecraft:crafting_shapeless
minecraft:brown_carpet,3,minecraft:brown_wool,2,CRAFTING_TABLE,brown_carpet,minecraft:crafting_shaped
minecraft:brown_carpet,1,minecraft:black_carpet,1,CRAFTING_TABLE,dye_brown_carpet,minecraft:crafting_shapeless
minecraft:brown_carpet,1,minecraft:brown_dye,1,CRAFTING_TABLE,dye_brown_carpet,minecraft:crafting_shapeless
minecraft:brown_concrete_powder,8,minecraft:brown_dye,1,CRAFTING_TABLE,brown_concrete_powder,minecraft:crafting_shapeless
minecraft:brown_concrete_powder,8,minecraft:gravel,4,CRAFTING_TABLE,brown_concrete_powder,minecraft:crafting_shapeless
minecraft:brown_concrete_powder,8,minecraft:sand,4,CRAFTING_TABLE,brown_concrete_powder,minecraft:crafting_shapeless
minecraft:brown_dye,1,minecraft:cocoa_beans,1,CRAFTING_TABLE,brown_dye,minecraft:crafting_shapeless
minecraft:brown_glazed_terracotta,1,minecraft:brown_terracotta,1,FURNACE,brown_glazed_terracotta,minecraft:smelting
minecraft:brown_harness,1,minecraft:brown_wool,1,CRAFTING_TABLE,brown_harness,minecraft:crafting_shaped
minecraft:brown_harness,1,minecraft:glass,2,CRAFTING_TABLE,brown_harness,minecraft:crafting_shaped
minecraft:brown_harness,1,minecraft:leather,3,CRAFTING_TABLE,brown_harness,minecraft:crafting_shaped
minecraft:brown_harness,1,minecraft:black_harness,1,CRAFTING_TABLE,dye_brown_harness,minecraft:crafting_shapeless
minecraft:brown_harness,1,minecraft:brown_dye,1,CRAFTING_TABLE,dye_brown_harness,minecraft:crafting_shapeless
minecraft:brown_stained_glass,8,minecraft:brown_dye,1,CRAFTING_TABLE,brown_stained_glass,minecraft:crafting_shaped
minecraft:brown_stained_glass,8,minecraft:glass,8,CRAFTING_TABLE,brown_stained_glass,minecraft:crafting_shaped
minecraft:brown_stained_glass_pane,16,minecraft:brown_stained_glass,6,CRAFTING_TABLE,brown_stained_glass_pane,minecraft:crafting_shaped
minecraft:brown_stained_glass_pane,8,minecraft:brown_dye,1,CRAFTING_TABLE,brown_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:brown_stained_glass_pane,8,minecraft:glass_pane,8,CRAFTING_TABLE,brown_stained_glass_pane_from_glass_pane,minecraft:crafting_shaped
minecraft:brown_terracotta,8,minecraft:brown_dye,1,CRAFTING_TABLE,brown_terracotta,minecraft:crafting_shaped
minecraft:brown_terracotta,8,minecraft:terracotta,8,CRAFTING_TABLE,brown_terracotta,minecraft:crafting_shaped
minecraft:brown_wool,1,minecraft:black_wool,1,CRAFTING_TABLE,dye_brown_wool,minecraft:crafting_shapeless
minecraft:brown_wool,1,minecraft:brown_dye,1,CRAFTING_TABLE,dye_brown_wool,minecraft:crafting_shapeless
minecraft:brush,1,minecraft:copper_ingot,1,CRAFTING_TABLE,brush,minecraft:crafting_shaped
minecraft:brush,1,minecraft:feather,1,CRAFTING_TABLE,brush,minecraft:crafting_shaped
minecraft:brush,1,minecraft:stick,1,CRAFTING_TABLE,brush,minecraft:crafting_shaped
minecraft:bucket,1,minecraft:iron_ingot,3,CRAFTING_TABLE,bucket,minecraft:crafting_shaped
minecraft:bundle,1,minecraft:leather,1,CRAFTING_TABLE,bundle,minecraft:crafting_shaped
minecraft:bundle,1,minecraft:string,1,CRAFTING_TABLE,bundle,minecraft:crafting_shaped
minecraft:cake,1,minecraft:milk_bucket,3,CRAFTING_TABLE,cake,minecraft:crafting_shaped
minecraft:cake,1,minecraft:sugar,2,CRAFTING_TABLE,cake,minecraft:crafting_shaped
minecraft:cake,1,minecraft:wheat,3,CRAFTING_TABLE,cake,minecraft:crafting_shaped
minecraft:calibrated_sculk_sensor,1,minecraft:amethyst_shard,3,CRAFTING_TABLE,calibrated_sculk_sensor,minecraft:crafting_shaped
minecraft:calibrated_sculk_sensor,1,minecraft:sculk_sensor,1,CRAFTING_TABLE,calibrated_sculk_sensor,minecraft:crafting_shaped
minecraft:campfire,1,minecraft:stick,3,CRAFTING_TABLE,campfire,minecraft:crafting_shaped
minecraft:candle,1,minecraft:honeycomb,1,CRAFTING_TABLE,candle,minecraft:crafting_shaped
minecraft:candle,1,minecraft:string,1,CRAFTING_TABLE,candle,minecraft:crafting_shaped
minecraft:carrot_on_a_stick,1,minecraft:carrot,1,CRAFTING_TABLE,carrot_on_a_stick,minecraft:crafting_shaped
minecraft:carrot_on_a_stick,1,minecraft:fishing_rod,1,CRAFTING_TABLE,carrot_on_a_stick,minecraft:crafting_shaped
minecraft:cartography_table,1,minecraft:paper,2,CRAFTING_TABLE,cartography_table,minecraft:crafting_shaped
minecraft:cauldron,1,minecraft:iron_ingot,7,CRAFTING_TABLE,cauldron,minecraft:crafting_shaped
minecraft:cherry_boat,1,minecraft:cherry_planks,5,CRAFTING_TABLE,cherry_boat,minecraft:crafting_shaped
minecraft:cherry_button,1,minecraft:cherry_planks,1,CRAFTING_TABLE,cherry_button,minecraft:crafting_shapeless
minecraft:cherry_chest_boat,1,minecraft:cherry_boat,1,CRAFTING_TABLE,cherry_chest_boat,minecraft:crafting_shapeless
